cn_name,en_name,coach,city,home_court,established_time,website
阿森纳（例）,Arsenal,温格,伦敦,酋长球场,1886年,http://www.arsenal.com/home
曼联,Manchester United,穆里尼奥,曼彻斯特,老特拉福德球场,1878年,www.manunited.com
利物浦,liverpool,克洛普,利物浦,安菲尔德球场,1892年,http://www.liverpoolfc.com/
切尔西,Chelsea,孔蒂,伦敦,斯坦福桥球场,1905年,http://www.chelseafc.com/
曼城,Manchester City,瓜迪奥拉,曼彻斯特,伊蒂哈德球场,1880年,https://www.mancity.com/
热刺,Tottenham Hotspur,波切蒂诺,伦敦,白鹿巷球场,1882年,http://www.tottenhamhotspur.com/
阿德莱德联,Adelaide United,阿莫尔,阿德莱德,库珀斯球场,2003年,http://www.adelaideunited.com.au/
墨尔本城,Melbourne City,斯基普,墨尔本,墨尔本矩形球场,2009年,http://www.melbournecityfc.com.au/
珀斯光荣,Perth Glory,洛维,珀斯,珀斯NIB球场,1995年,http://www.perthglory.com.au/

